,timesteps,ep_reward,num_updates,episodes
289,100,100.0,0,289
290,100,100.0,0,290
291,100,100.0,0,291
292,100,100.0,0,292
293,100,100.0,0,293
294,100,100.0,0,294
295,100,100.0,0,295
296,100,100.0,0,296
297,100,100.0,0,297
298,100,100.0,0,298
299,100,100.0,0,299
300,100,100.0,0,300
301,100,100.0,1,301
302,100,100.0,0,302
303,100,100.0,0,303
304,100,100.0,0,304
305,100,100.0,0,305
306,100,100.0,0,306
307,100,100.0,0,307
308,100,100.0,0,308
309,100,100.0,0,309
310,77,77.0,0,310
311,100,100.0,0,311
312,100,100.0,0,312
313,100,100.0,0,313
314,100,100.0,0,314
315,100,100.0,0,315
316,100,100.0,0,316
317,100,100.0,0,317
318,100,100.0,0,318
319,100,100.0,0,319
320,100,100.0,0,320
321,100,100.0,1,321
322,100,100.0,0,322
323,100,100.0,0,323
324,100,100.0,0,324
325,100,100.0,0,325
326,100,100.0,0,326
327,100,100.0,0,327
328,100,100.0,0,328
329,100,100.0,0,329
330,100,100.0,0,330
331,100,100.0,0,331
332,100,100.0,0,332
333,100,100.0,0,333
334,100,100.0,0,334
335,100,100.0,0,335
336,100,100.0,0,336
337,100,100.0,0,337
338,100,100.0,0,338
339,100,100.0,0,339
340,100,100.0,0,340
341,100,100.0,1,341
342,99,99.0,0,342
343,98,98.0,0,343
344,100,100.0,0,344
345,90,90.0,0,345
346,35,35.0,0,346
347,100,100.0,0,347
348,92,92.0,0,348
349,72,72.0,0,349
350,100,100.0,0,350
351,100,100.0,0,351
352,100,100.0,0,352
353,100,100.0,0,353
354,100,100.0,0,354
355,73,73.0,0,355
356,100,100.0,0,356
357,100,100.0,0,357
358,100,100.0,0,358
359,68,68.0,0,359
360,100,100.0,0,360
361,91,91.0,0,361
362,82,82.0,0,362
363,100,100.0,1,363
364,100,100.0,0,364
365,94,94.0,0,365
366,92,92.0,0,366
367,100,100.0,0,367
368,100,100.0,0,368
369,100,100.0,0,369
370,100,100.0,0,370
371,100,100.0,0,371
372,100,100.0,0,372
373,100,100.0,0,373
374,100,100.0,0,374
375,100,100.0,0,375
376,100,100.0,0,376
377,100,100.0,0,377
378,100,100.0,0,378
379,100,100.0,0,379
380,100,100.0,0,380
381,100,100.0,0,381
382,100,100.0,0,382
383,100,100.0,0,383
384,100,100.0,1,384
385,100,100.0,0,385
386,100,100.0,0,386
387,100,100.0,0,387
388,100,100.0,0,388
389,100,100.0,0,389
390,100,100.0,0,390
391,100,100.0,0,391
392,100,100.0,0,392
393,100,100.0,0,393
394,100,100.0,0,394
395,100,100.0,0,395
396,100,100.0,0,396
397,100,100.0,0,397
398,100,100.0,0,398
399,100,100.0,0,399
400,100,100.0,0,400
401,100,100.0,0,401
402,100,100.0,0,402
403,100,100.0,0,403
404,100,100.0,1,404
405,100,100.0,0,405
406,100,100.0,0,406
407,100,100.0,0,407
408,100,100.0,0,408
409,100,100.0,0,409
410,100,100.0,0,410
411,100,100.0,0,411
412,100,100.0,0,412
413,100,100.0,0,413
414,100,100.0,0,414
415,100,100.0,0,415
416,100,100.0,0,416
417,100,100.0,0,417
418,100,100.0,0,418
419,100,100.0,0,419
420,100,100.0,0,420
421,100,100.0,0,421
422,100,100.0,0,422
423,100,100.0,0,423
424,100,100.0,1,424
425,100,100.0,0,425
426,100,100.0,0,426
427,100,100.0,0,427
428,100,100.0,0,428
429,100,100.0,0,429
430,100,100.0,0,430
431,100,100.0,0,431
432,100,100.0,0,432
433,100,100.0,0,433
434,100,100.0,0,434
435,100,100.0,0,435
436,100,100.0,0,436
437,100,100.0,0,437
438,100,100.0,0,438
439,100,100.0,0,439
440,100,100.0,0,440
441,100,100.0,0,441
442,100,100.0,0,442
443,100,100.0,0,443
444,100,100.0,1,444
445,100,100.0,0,445
446,100,100.0,0,446
447,84,84.0,0,447
448,100,100.0,0,448
449,100,100.0,0,449
450,100,100.0,0,450
451,100,100.0,0,451
452,100,100.0,0,452
453,90,90.0,0,453
454,100,100.0,0,454
455,100,100.0,0,455
456,100,100.0,0,456
457,100,100.0,0,457
458,96,96.0,0,458
459,100,100.0,0,459
460,100,100.0,0,460
461,100,100.0,0,461
462,100,100.0,0,462
463,100,100.0,0,463
464,59,59.0,1,464
465,89,89.0,0,465
466,100,100.0,0,466
467,100,100.0,0,467
468,100,100.0,0,468
469,100,100.0,0,469
470,99,99.0,0,470
471,100,100.0,0,471
472,86,86.0,0,472
473,100,100.0,0,473
474,100,100.0,0,474
475,100,100.0,0,475
476,100,100.0,0,476
477,100,100.0,0,477
478,99,99.0,0,478
479,100,100.0,0,479
480,89,89.0,0,480
481,93,93.0,0,481
482,74,74.0,0,482
483,100,100.0,0,483
484,76,76.0,0,484
485,21,21.0,0,485
486,100,100.0,1,486
487,69,69.0,0,487
488,100,100.0,0,488
489,100,100.0,0,489
490,100,100.0,0,490
491,100,100.0,0,491
492,100,100.0,0,492
493,100,100.0,0,493
494,100,100.0,0,494
495,100,100.0,0,495
496,93,93.0,0,496
497,100,100.0,0,497
498,100,100.0,0,498
499,100,100.0,0,499
500,100,100.0,0,500
